NoJI,Mesin,Tanggal SUP,,
5393 1C,CERUTI.2                                          ,7/1/2021,,CERUTI.2
5396 1C,CERUTI.2                                          ,7/1/2021,,CERUTI.2
7645 0A,JASA PRINTING DI RAPIGRA                          ,7/1/2021,,JASA PRINTING DI RAPIGRA
0412 5J,CERUTI.1                                          ,7/1/2021,,CERUTI.1
7515 0A,CERUTI.2                                          ,7/1/2021,,CERUTI.2
1636 5I,CERUTI.2                                          ,7/1/2021,,CERUTI.2
6983 0A,CERUTI.1                                          ,7/1/2021,,CERUTI.1
7181 0B,CERUTI.2                                          ,7/1/2021,,CERUTI.2
5242 0B,CERUTI.2                                          ,7/2/2021,,CERUTI.2
6832 0B,CERUTI.1                                          ,7/2/2021,,CERUTI.1
6718 0B,CERUTI.2                                          ,7/2/2021,,CERUTI.2
7656A 0A,CERUTI.1                                          ,7/2/2021,,CERUTI.1
7239 0A,CERUTI.2                                          ,7/2/2021,,CERUTI.2
7644A 0A,CERUTI.2                                          ,7/2/2021,,CERUTI.2
7591 0A,CERUTI.1                                          ,7/2/2021,,CERUTI.1
7612 0A,CERUTI.5,7/2/2021,,CERUTI.5
4285 2E,CERUTI.1                                          ,7/2/2021,,CERUTI.1
7032 0B,CERUTI.2                                          ,7/2/2021,,CERUTI.2
6666 1F,CERUTI.5,7/2/2021,,CERUTI.5
7240 0A,CERUTI.2                                          ,7/3/2021,,CERUTI.2
6252 1B,CERUTI.2                                          ,7/3/2021,,CERUTI.2
2994 4K,CERUTI.5,7/4/2021,,CERUTI.5
5392 1C,CERUTI.2                                          ,7/4/2021,,CERUTI.2
7330 0A,CERUTI.2                                          ,7/4/2021,,CERUTI.2
5763 1C,CERUTI.1                                          ,7/4/2021,,CERUTI.1
1618 5N,CERUTI.2                                          ,8/6/2021,,CERUTI.2
7658 0A,CERUTI.1                                          ,7/5/2021,,CERUTI.1
1619 5O,CERUTI.2                                          ,7/5/2021,,CERUTI.2
1617 6O,CERUTI.2                                          ,8/6/2021,,CERUTI.2
7659 0A,CERUTI.1                                          ,7/5/2021,,CERUTI.1
7157 0A,CERUTI.1                                          ,7/6/2021,,CERUTI.1
7664 0A,CERUTI.2                                          ,7/6/2021,,CERUTI.2
6962 1C,CERUTI.3                                          ,7/6/2021,,CERUTI.3
6963 1C,CERUTI.2                                          ,7/6/2021,,CERUTI.2
