Artikel,Customer,JmlhWrna,JnsCtk,JnsBhn,Tebal (mic),Lebar (mm)
STD POUCH KALISERAYOE 1 L                         ,,8,REVERSE,NY-01,15.00,1120.00
PAID SAMPLE BLANK DESIGN KRISPI PUFF ROLL FLM     ,,1,REVERSE,OPP MATTE,20.00,1050.00
POUCH KISPRAY GOLD 300ML # KPPG02502              ,,7,REVERSE,PET-G,12.00,1000.00
ROLL SACHET LABBAIK SAMBAL CHILI 2UP              ,,6,REVERSE,PET-G,12.00,990.00
6027582 STP PASTA BOLOGNESE 315GR                 ,,6,REVERSE,PET-G,12.00,1020.00
ROLL KUAH BAKSO 8GR MULTI 5 (6027889)             ,,7,REVERSE,PET-G,12.00,860.00
PF TBW 90 (ML5-6000M/FORTIFIED) - 421001393       ,,8,SURFACE,OPP-G,20.00,1180.00
ROLL BUMBU INSTANT OPOR 16G ND                    ,,8,REVERSE,PET-G,12.00,930.00
ROLL BUMBU INSTANT GULAI 25G ND                   ,,8,REVERSE,PET-G,12.00,930.00
ROLL BUMBU INSTANT RENDANG 25GR ND                ,,8,REVERSE,PET-G,12.00,930.00
I07285 SAMBAL PIZZA HUT 25 GR ND                  ,,4,REVERSE,PET-G,12.00,990.00
I07284 SACHET PIZZA HUT CHILI 8GR 6UP CILEUNGSI   ,,4,REVERSE,PET-G,12.00,990.00
PLS GJH TA 150GR (R1)                             ,,8,SURFACE,PET-G,12.00,1020.00
MARIMAS COCOPANDAN 7GR MLT MAY'23                 ,,8,REVERSE,PET,12.00,935.00
6032216 ROLL BON NORI 5GR EBI                     ,,7,REVERSE,PET,12.00,985.00
14009808/23009882-ROL RAPIKA 400 UNGU-R2          ,,8,REVERSE,PET,12.00,990.00
KUSUKA 180GR RASA RUMPUT LAUT                     ,,7,REVERSE,PET,12.00,990.00
6029803 ROLL OUTER NORI SALTED EGG COVID 19       ,,5,REVERSE,OPP - G,20.00,1170.00
68614762 RL RAN PWD 460GR CLASSIC INV             ,,7,REVERSE,PET-G,9.00,1230.00
6032218 STP + ZIPPER BON NORI EXTRA PEDAS 60GR    ,,7,REVERSE,PET-G,12.00,985.00
CAFFINO KOPI LATTE CHOCO HAZELNUT 20GR DRY        ,,8,SURFACE,PET-G,12.00,1120.00
6032215 ROLL BON NORI 5GR EXTRA PEDAS             ,,7,REVERSE,PET,12.00,985.00
ROLL BUMBU INSTANT SOTO AYAM 20GR ND              ,,8,REVERSE,PET,12.00,930.00
SELFIE MINYAK GORENG SAWIT 1000ML LD130           ,,8,REVERSE,NY-01,15.00,1120.00
ROLL ROCKET CHICKEN TOMATO 6 LINE 1500M           ,,5,REVERSE,PET,12.00,990.00
LID 220 8 LINE FONTAQUA                           ,,4,REVERSE,PET,12.00,750.00
BAG FANCY GOLD FOOD SEAWEEDS 450G                 ,,7,REVERSE,OPP - G,20.00,1060.00
SHAKTI MAN 80WP 1 KG                              ,,8,REVERSE,PET-G,12.00,1120.00
PLASTIK POUCH MINYAK SAWIT SUPERINDO365 2000 ML   ,,8,REVERSE,PET-G,12.00,1200.00
ROLL BUMBU RACIK NASI GORENG                      ,,7,REVERSE,PET-G,12.00,1130.00
ROLL BUMBU RACIK SAYUR LODEH                      ,,7,REVERSE,PET-G,12.00,1130.00
68662154 ROLL BANGO MANIS 550ML BLOCKCHAIN        ,,6,REVERSE,NYLON,15.00,1040.00
MS 100GR MOJOKERTO - 122002451                    ,,7,REVERSE,PET,12.00,940.00
MS 9GR MOJOKERTO - 122002457                      ,,7,REVERSE,OPP - G,18.00,1130.00
BAG ROLL ID 1KG P27 GAJAH (ND)                    ,,8,REVERSE,NY-01,15.00,910.00
ROLL KRENCHISE SAUS SAMBAL CHILI 6LINE 1500M      ,,6,REVERSE,PET,12.00,985.00
LMNT DETOL MY HW ORI 225G JM(3121345)             ,,7,REVERSE,NY-01,15.00,860.00
"LMNT,VANISH,ID,LIQ 425ML(3162059)                 ",,8,REVERSE,PET-G,12.00,1120.00
BAG MD3 MOTH GUARD FLORAL                         ,,8,REVERSE,PET-G,12.00,840.00
BAG BERAS SPECIAL WHITE RICE 5KG NEW              ,,7,REVERSE,NY-01,15.00,950.00
BAG BERAS MASAYU 5KG                              ,,7,REVERSE,NY-01,15.00,950.00
68611077 ROLL ROYCO BK AYAM TELUR ASIN 22G        ,,6,SURFACE,PET-G,12.00,1150.00
